  5750| 3.10e+03  9.09e-05  4.05e+03 -1.39e+09  2.56e-05  3.00e+02 
  6000| 3.00e+03  8.69e-04  2.33e+04 -1.39e+09  8.09e-05  3.14e+02 
  6250| 2.86e+03  8.21e-04  2.21e+04 -1.39e+09  8.09e-05  3.27e+02 
  6500| 2.73e+03  7.82e-04  2.11e+04 -1.38e+09  8.09e-05  3.41e+02 
  6750| 2.00e+03  1.01e-03  2.22e+04 -1.35e+09  8.09e-05  3.55e+02 
  7000| 2.00e+03  4.64e-04  1.26e+04 -1.35e+09  8.09e-05  3.68e+02 
  7250| 1.99e+03  4.53e-04  1.23e+04 -1.35e+09  8.09e-05  3.82e+02 
  7500| 1.99e+03  4.42e-04  1.21e+04 -1.34e+09  8.09e-05  3.95e+02 
  7750| 3.43e+04  3.93e+00  9.90e+04 -1.31e+09  8.09e-05  4.10e+02 
  8000| 1.98e+03  4.25e-04  1.17e+04 -1.34e+09  8.09e-05  4.23e+02 
  8250| 1.97e+03  4.17e-04  1.15e+04 -1.34e+09  8.09e-05  4.37e+02 
  8500| 1.96e+03  4.11e-04  1.13e+04 -1.34e+09  8.09e-05  4.51e+02 
  8750| 1.96e+03  4.04e-04  1.11e+04 -1.34e+09  8.09e-05  4.65e+02 
  9000| 1.95e+03  3.98e-04  1.09e+04 -1.33e+09  8.09e-05  4.79e+02 
  9250| 1.95e+03  3.91e-04  1.08e+04 -1.33e+09  8.09e-05  4.90e+02 
  9500| 1.94e+03  3.86e-04  1.06e+04 -1.33e+09  8.09e-05  5.01e+02 
  9750| 1.94e+03  3.81e-04  1.05e+04 -1.33e+09  8.09e-05  5.11e+02 
 10000| 1.93e+03  3.75e-04  1.03e+04 -1.33e+09  8.09e-05  5.24e+02 
 10250| 1.93e+03  3.70e-04  1.02e+04 -1.33e+09  8.09e-05  5.38e+02 
 10500| 6.17e+05  6.20e+01  8.45e+04 -1.28e+09  8.09e-05  5.46e+02 
 10750| 1.92e+03  3.61e-04  9.90e+03 -1.32e+09  8.09e-05  5.52e+02 
 11000| 1.91e+03  3.57e-04  9.77e+03 -1.32e+09  8.09e-05  5.58e+02 
 11250| 1.91e+03  3.52e-04  9.65e+03 -1.32e+09  8.09e-05  5.63e+02 
 11500| 1.91e+03  3.48e-04  9.53e+03 -1.32e+09  8.09e-05  5.69e+02 
 11750| 1.90e+03  3.44e-04  9.42e+03 -1.32e+09  8.09e-05  5.75e+02 
 12000| 1.90e+03  3.40e-04  9.32e+03 -1.32e+09  8.09e-05  5.81e+02 
 12250| 1.89e+03  3.36e-04  9.20e+03 -1.31e+09  8.09e-05  5.86e+02 
 12500| 1.89e+03  3.32e-04  9.08e+03 -1.31e+09  8.09e-05  5.93e+02 
 12750| 1.88e+03  3.29e-04  8.99e+03 -1.31e+09  8.09e-05  5.99e+02 
 13000| 1.88e+03  3.26e-04  8.88e+03 -1.31e+09  8.09e-05  6.04e+02 
 13250| 2.74e+05  2.57e+01  1.75e+05 -1.29e+09  8.09e-05  6.10e+02 
 13500| 1.87e+03  3.20e-04  8.72e+03 -1.31e+09  8.09e-05  6.16e+02 
 13750| 1.86e+03  3.17e-04  8.62e+03 -1.31e+09  8.09e-05  6.22e+02 
 14000| 1.86e+03  3.13e-04  8.55e+03 -1.30e+09  8.09e-05  6.28e+02 
 14250| 1.86e+03  3.10e-04  8.45e+03 -1.30e+09  8.09e-05  6.36e+02 
 14500| 1.85e+03  3.08e-04  8.38e+03 -1.30e+09  8.09e-05  6.51e+02 
 14750| 1.85e+03  3.05e-04  8.29e+03 -1.30e+09  8.09e-05  6.64e+02 
 15000| 1.84e+03  3.02e-04  8.24e+03 -1.30e+09  8.09e-05  6.81e+02 
 15250| 1.84e+03  2.99e-04  8.15e+03 -1.30e+09  8.09e-05  6.92e+02 
 15500| 1.84e+03  2.96e-04  8.06e+03 -1.30e+09  8.09e-05  7.03e+02 
 15750| 1.83e+03  2.95e-04  8.01e+03 -1.30e+09  8.09e-05  7.13e+02 
 16000| 5.60e+05  6.41e+01  7.80e+04 -1.22e+09  8.09e-05  7.24e+02 
 16250| 1.82e+03  2.90e-04  7.87e+03 -1.29e+09  8.09e-05  7.35e+02 
 16500| 1.82e+03  2.87e-04  7.80e+03 -1.29e+09  8.09e-05  7.45e+02 
 16750| 1.82e+03  2.86e-04  7.76e+03 -1.29e+09  8.09e-05  7.56e+02 
 17000| 1.81e+03  2.83e-04  7.69e+03 -1.29e+09  8.09e-05  7.67e+02 
 17250| 1.81e+03  2.80e-04  7.61e+03 -1.29e+09  8.09e-05  7.77e+02 
 17500| 1.81e+03  2.78e-04  7.57e+03 -1.29e+09  8.09e-05  7.87e+02 
 17750| 1.80e+03  2.77e-04  7.54e+03 -1.29e+09  8.09e-05  7.99e+02 
 18000| 1.80e+03  2.75e-04  7.44e+03 -1.28e+09  8.09e-05  8.09e+02 
 18250| 1.79e+03  2.72e-04  7.38e+03 -1.28e+09  8.09e-05  8.20e+02 
 18500| 1.79e+03  2.70e-04  7.31e+03 -1.28e+09  8.09e-05  8.28e+02 
 18750| 1.36e+05  1.56e+01  4.44e+02 -1.25e+09  8.09e-05  8.38e+02 
 19000| 1.78e+03  2.67e-04  7.22e+03 -1.28e+09  8.09e-05  8.48e+02 
 19250| 1.78e+03  2.66e-04  7.18e+03 -1.28e+09  8.09e-05  8.55e+02 
 19500| 1.78e+03  2.64e-04  7.14e+03 -1.28e+09  8.09e-05  8.60e+02 
 19750| 1.77e+03  2.62e-04  7.09e+03 -1.28e+09  8.09e-05  8.65e+02 
 20000| 1.77e+03  2.60e-04  7.04e+03 -1.27e+09  8.09e-05  8.70e+02 
 20250| 1.77e+03  2.59e-04  6.99e+03 -1.27e+09  8.09e-05  8.75e+02 
 20500| 1.76e+03  2.57e-04  6.94e+03 -1.27e+09  8.09e-05  8.80e+02 
 20750| 1.76e+03  2.55e-04  6.89e+03 -1.27e+09  8.09e-05  8.85e+02 
 21000| 1.76e+03  2.53e-04  6.85e+03 -1.27e+09  8.09e-05  8.90e+02 
 21250| 1.75e+03  2.52e-04  6.82e+03 -1.27e+09  8.09e-05  8.95e+02 
 21500| 3.34e+05  3.09e+01  8.48e+04 -1.30e+09  8.09e-05  9.00e+02 
 21750| 1.75e+03  2.49e-04  6.74e+03 -1.27e+09  8.09e-05  9.05e+02 
 22000| 1.74e+03  2.47e-04  6.69e+03 -1.27e+09  8.09e-05  9.10e+02 
 22250| 1.74e+03  2.45e-04  6.62e+03 -1.26e+09  8.09e-05  9.15e+02 
 22500| 1.74e+03  2.44e-04  6.61e+03 -1.26e+09  8.09e-05  9.20e+02 
 22750| 1.73e+03  2.43e-04  6.55e+03 -1.26e+09  8.09e-05  9.25e+02 
 23000| 1.73e+03  2.42e-04  6.54e+03 -1.26e+09  8.09e-05  9.31e+02 
 23250| 1.73e+03  2.40e-04  6.48e+03 -1.26e+09  8.09e-05  9.36e+02 
 23500| 1.72e+03  2.39e-04  6.45e+03 -1.26e+09  8.09e-05  9.41e+02 
 23750| 1.72e+03  2.37e-04  6.39e+03 -1.26e+09  8.09e-05  9.46e+02 
 24000| 1.72e+03  2.35e-04  6.37e+03 -1.26e+09  8.09e-05  9.51e+02 
 24250| 2.66e+06  3.04e+02  1.16e+05 -1.16e+09  8.09e-05  9.56e+02 
 24500| 1.71e+03  2.33e-04  6.27e+03 -1.25e+09  8.09e-05  9.61e+02 
 24750| 1.71e+03  2.32e-04  6.24e+03 -1.25e+09  8.09e-05  9.68e+02 
 25000| 1.70e+03  2.30e-04  6.22e+03 -1.25e+09  8.09e-05  9.74e+02 
 25250| 1.70e+03  2.29e-04  6.17e+03 -1.25e+09  8.09e-05  9.81e+02 
 25500| 1.70e+03  2.27e-04  6.13e+03 -1.25e+09  8.09e-05  9.88e+02 
 25750| 1.69e+03  2.26e-04  6.09e+03 -1.25e+09  8.09e-05  9.94e+02 
 26000| 1.69e+03  2.24e-04  6.05e+03 -1.25e+09  8.09e-05  1.00e+03 
 26250| 1.69e+03  2.23e-04  6.02e+03 -1.25e+09  8.09e-05  1.01e+03 
 26500| 1.68e+03  2.21e-04  5.94e+03 -1.25e+09  8.09e-05  1.02e+03 
 26750| 1.68e+03  2.19e-04  5.89e+03 -1.24e+09  8.09e-05  1.02e+03 
 27000| 9.37e+06  8.64e+02  2.01e+05 -1.43e+09  8.09e-05  1.03e+03 
 27250| 1.68e+03  2.17e-04  5.83e+03 -1.24e+09  8.09e-05  1.04e+03 
 27500| 1.67e+03  2.15e-04  5.78e+03 -1.24e+09  8.09e-05  1.05e+03 
 27750| 1.67e+03  2.13e-04  5.73e+03 -1.24e+09  8.09e-05  1.05e+03 
 28000| 1.67e+03  2.12e-04  5.71e+03 -1.24e+09  8.09e-05  1.06e+03 
 28250| 1.66e+03  2.11e-04  5.67e+03 -1.24e+09  8.09e-05  1.06e+03 
 28500| 1.66e+03  2.10e-04  5.64e+03 -1.24e+09  8.09e-05  1.07e+03 
 28750| 1.66e+03  2.08e-04  5.61e+03 -1.24e+09  8.09e-05  1.07e+03 
 29000| 1.66e+03  2.07e-04  5.58e+03 -1.24e+09  8.09e-05  1.08e+03 
 29250| 1.65e+03  2.06e-04  5.54e+03 -1.23e+09  8.09e-05  1.09e+03 
 29500| 1.65e+03  2.05e-04  5.52e+03 -1.23e+09  8.09e-05  1.10e+03 
 29750| 7.24e+03  8.24e-01  5.24e+04 -1.23e+09  8.09e-05  1.10e+03 
 30000| 1.64e+03  2.03e-04  5.45e+03 -1.23e+09  8.09e-05  1.11e+03 
 30250| 1.64e+03  2.03e-04  5.44e+03 -1.23e+09  8.09e-05  1.12e+03 
 30500| 1.64e+03  2.02e-04  5.41e+03 -1.23e+09  8.09e-05  1.13e+03 
 30750| 1.64e+03  2.01e-04  5.37e+03 -1.23e+09  8.09e-05  1.14e+03 
 31000| 1.63e+03  1.99e-04  5.34e+03 -1.23e+09  8.09e-05  1.15e+03 
 31250| 1.63e+03  1.99e-04  5.31e+03 -1.23e+09  8.09e-05  1.16e+03 
 31500| 1.63e+03  1.98e-04  5.29e+03 -1.23e+09  8.09e-05  1.17e+03 
 31750| 1.62e+03  1.97e-04  5.29e+03 -1.22e+09  8.09e-05  1.18e+03 
 32000| 1.62e+03  1.97e-04  5.25e+03 -1.22e+09  8.09e-05  1.19e+03 
 32250| 1.62e+03  1.96e-04  5.23e+03 -1.22e+09  8.09e-05  1.20e+03 
 32500| 1.03e+07  1.17e+03  7.29e+04 -9.68e+08  8.09e-05  1.21e+03 
 32750| 1.61e+03  1.94e-04  5.18e+03 -1.22e+09  8.09e-05  1.22e+03 
 33000| 1.61e+03  1.92e-04  5.15e+03 -1.22e+09  8.09e-05  1.23e+03 
 33250| 1.61e+03  1.92e-04  5.14e+03 -1.22e+09  8.09e-05  1.24e+03 
 33500| 1.61e+03  1.91e-04  5.10e+03 -1.22e+09  8.09e-05  1.25e+03 
 33750| 1.60e+03  1.90e-04  5.08e+03 -1.22e+09  8.09e-05  1.26e+03 
 34000| 1.60e+03  1.89e-04  5.04e+03 -1.22e+09  8.09e-05  1.27e+03 
 34250| 1.60e+03  1.88e-04  5.02e+03 -1.22e+09  8.09e-05  1.28e+03 
 34500| 1.60e+03  1.87e-04  4.98e+03 -1.21e+09  8.09e-05  1.29e+03 
 34750| 1.59e+03  1.86e-04  4.94e+03 -1.21e+09  8.09e-05  1.30e+03 
 35000| 1.59e+03  1.85e-04  4.94e+03 -1.21e+09  8.09e-05  1.31e+03 
 35250| 1.62e+05  1.86e+01  8.67e+03 -1.19e+09  8.09e-05  1.32e+03 
 35500| 1.59e+03  1.83e-04  4.87e+03 -1.21e+09  8.09e-05  1.33e+03 
 35750| 1.58e+03  1.82e-04  4.84e+03 -1.21e+09  8.09e-05  1.34e+03 
 36000| 1.58e+03  1.82e-04  4.83e+03 -1.21e+09  8.09e-05  1.35e+03 
 36250| 1.58e+03  1.81e-04  4.81e+03 -1.21e+09  8.09e-05  1.36e+03 
 36500| 1.58e+03  1.80e-04  4.77e+03 -1.21e+09  8.09e-05  1.38e+03 
 36750| 1.57e+03  1.79e-04  4.73e+03 -1.21e+09  8.09e-05  1.39e+03 
 37000| 1.57e+03  1.78e-04  4.71e+03 -1.21e+09  8.09e-05  1.40e+03 
 37250| 1.57e+03  1.77e-04  4.69e+03 -1.20e+09  8.09e-05  1.41e+03 
 37500| 1.57e+03  1.76e-04  4.69e+03 -1.20e+09  8.09e-05  1.42e+03 
 37750| 1.56e+03  1.75e-04  4.63e+03 -1.20e+09  8.09e-05  1.43e+03 
 38000| 2.01e+05  2.30e+01  2.07e+04 -1.16e+09  8.09e-05  1.44e+03 
 38250| 1.56e+03  1.74e-04  4.60e+03 -1.20e+09  8.09e-05  1.45e+03 
 38500| 1.56e+03  1.74e-04  4.58e+03 -1.20e+09  8.09e-05  1.46e+03 
 38750| 1.55e+03  1.73e-04  4.56e+03 -1.20e+09  8.09e-05  1.47e+03 
 39000| 1.55e+03  1.72e-04  4.51e+03 -1.20e+09  8.09e-05  1.47e+03 
 39250| 1.55e+03  1.71e-04  4.52e+03 -1.20e+09  8.09e-05  1.48e+03 
 39500| 1.55e+03  1.70e-04  4.48e+03 -1.20e+09  8.09e-05  1.49e+03 
 39750| 1.54e+03  1.70e-04  4.47e+03 -1.20e+09  8.09e-05  1.50e+03 
 40000| 1.54e+03  1.69e-04  4.45e+03 -1.19e+09  8.09e-05  1.51e+03 
 40250| 1.54e+03  1.68e-04  4.44e+03 -1.19e+09  8.09e-05  1.52e+03 
 40500| 1.54e+03  1.67e-04  4.41e+03 -1.19e+09  8.09e-05  1.53e+03 
 40750| 6.24e+06  7.13e+02  5.71e+05 -1.41e+09  8.09e-05  1.54e+03 
 41000| 1.53e+03  1.67e-04  4.39e+03 -1.19e+09  8.09e-05  1.55e+03 
 41250| 1.53e+03  1.65e-04  4.36e+03 -1.19e+09  8.09e-05  1.56e+03 
 41500| 1.53e+03  1.65e-04  4.34e+03 -1.19e+09  8.09e-05  1.57e+03 
 41750| 1.52e+03  1.65e-04  4.34e+03 -1.19e+09  8.09e-05  1.58e+03 
 42000| 1.52e+03  1.64e-04  4.32e+03 -1.19e+09  8.09e-05  1.59e+03 
 42250| 1.52e+03  1.63e-04  4.30e+03 -1.19e+09  8.09e-05  1.60e+03 
 42500| 1.52e+03  1.63e-04  4.27e+03 -1.19e+09  8.09e-05  1.61e+03 
 42750| 1.51e+03  1.62e-04  4.25e+03 -1.19e+09  8.09e-05  1.62e+03 
 43000| 1.51e+03  1.62e-04  4.25e+03 -1.18e+09  8.09e-05  1.63e+03 
 43250| 1.51e+03  1.61e-04  4.22e+03 -1.18e+09  8.09e-05  1.64e+03 
 43500| 1.13e+04  1.28e+00  2.00e+05 -1.18e+09  8.09e-05  1.65e+03 
 43750| 1.50e+03  1.60e-04  4.20e+03 -1.18e+09  8.09e-05  1.66e+03 
 44000| 1.50e+03  1.60e-04  4.18e+03 -1.18e+09  8.09e-05  1.67e+03 
 44250| 1.50e+03  1.59e-04  4.16e+03 -1.18e+09  8.09e-05  1.68e+03 
 44500| 1.50e+03  1.59e-04  4.15e+03 -1.18e+09  8.09e-05  1.69e+03 
 44750| 1.49e+03  1.58e-04  4.14e+03 -1.18e+09  8.09e-05  1.69e+03 
 45000| 1.49e+03  1.57e-04  4.12e+03 -1.18e+09  8.09e-05  1.70e+03 
 45250| 1.49e+03  1.57e-04  4.12e+03 -1.18e+09  8.09e-05  1.71e+03 
 45500| 1.49e+03  1.57e-04  4.11e+03 -1.18e+09  8.09e-05  1.72e+03 
 45750| 1.48e+03  1.56e-04  4.08e+03 -1.18e+09  8.09e-05  1.73e+03 
 46000| 1.48e+03  1.55e-04  4.08e+03 -1.17e+09  8.09e-05  1.74e+03 
 46250| 1.40e+03  5.84e-02  2.99e+05 -1.15e+09  8.09e-05  1.75e+03 
 46500| 1.48e+03  1.54e-04  4.02e+03 -1.17e+09  8.09e-05  1.76e+03 
 46750| 1.47e+03  1.54e-04  4.03e+03 -1.17e+09  8.09e-05  1.77e+03 
 47000| 1.47e+03  1.54e-04  4.01e+03 -1.17e+09  8.09e-05  1.78e+03 
 47250| 1.47e+03  1.53e-04  3.98e+03 -1.17e+09  8.09e-05  1.79e+03 
 47500| 1.47e+03  1.52e-04  3.97e+03 -1.17e+09  8.09e-05  1.80e+03 
 47750| 1.47e+03  1.52e-04  3.97e+03 -1.17e+09  8.09e-05  1.81e+03 
 48000| 1.46e+03  1.51e-04  3.94e+03 -1.17e+09  8.09e-05  1.81e+03 
 48250| 1.46e+03  1.51e-04  3.92e+03 -1.17e+09  8.09e-05  1.82e+03 
 48500| 1.46e+03  1.50e-04  3.93e+03 -1.17e+09  8.09e-05  1.84e+03 
 48750| 1.46e+03  1.50e-04  3.93e+03 -1.17e+09  8.09e-05  1.85e+03 
 49000| 4.16e+03  4.71e-01  1.65e+03 -1.18e+09  8.09e-05  1.86e+03 
 49250| 1.45e+03  1.49e-04  3.89e+03 -1.16e+09  8.09e-05  1.87e+03 
 49500| 1.45e+03  1.49e-04  3.87e+03 -1.16e+09  8.09e-05  1.88e+03 
 49750| 1.45e+03  1.48e-04  3.85e+03 -1.16e+09  8.09e-05  1.89e+03 
 50000| 1.45e+03  1.48e-04  3.84e+03 -1.16e+09  8.09e-05  1.90e+03 
 50250| 1.44e+03  1.47e-04  3.82e+03 -1.16e+09  8.09e-05  1.91e+03 
 50500| 1.44e+03  1.46e-04  3.82e+03 -1.16e+09  8.09e-05  1.92e+03 
 50750| 1.44e+03  1.46e-04  3.81e+03 -1.16e+09  8.09e-05  1.93e+03 
 51000| 1.44e+03  1.46e-04  3.80e+03 -1.16e+09  8.09e-05  1.94e+03 
 51250| 1.43e+03  1.46e-04  3.79e+03 -1.16e+09  8.09e-05  1.95e+03 
 51500| 1.43e+03  1.45e-04  3.77e+03 -1.16e+09  8.09e-05  1.96e+03 
 51750| 4.20e+06  4.80e+02  2.80e+03 -1.34e+09  8.09e-05  1.97e+03 
 52000| 1.43e+03  1.44e-04  3.75e+03 -1.16e+09  8.09e-05  1.98e+03 
 52250| 1.43e+03  1.44e-04  3.74e+03 -1.15e+09  8.09e-05  1.99e+03 
 52500| 1.42e+03  1.43e-04  3.69e+03 -1.15e+09  8.09e-05  2.00e+03 
 52750| 1.42e+03  1.43e-04  3.69e+03 -1.15e+09  8.09e-05  2.02e+03 
 53000| 1.42e+03  1.42e-04  3.68e+03 -1.15e+09  8.09e-05  2.03e+03 
 53250| 1.42e+03  1.42e-04  3.68e+03 -1.15e+09  8.09e-05  2.03e+03 
 53500| 1.41e+03  1.42e-04  3.66e+03 -1.15e+09  8.09e-05  2.04e+03 
 53750| 1.41e+03  1.41e-04  3.65e+03 -1.15e+09  8.09e-05  2.05e+03 
 54000| 1.41e+03  1.40e-04  3.63e+03 -1.15e+09  8.09e-05  2.06e+03 
 54250| 1.41e+03  1.40e-04  3.62e+03 -1.15e+09  8.09e-05  2.06e+03 
 54500| 1.02e+08  1.17e+04  6.14e+05 -2.41e+09  8.09e-05  2.07e+03 
 54750| 1.40e+03  1.40e-04  3.59e+03 -1.15e+09  8.09e-05  2.09e+03 
 55000| 1.40e+03  1.39e-04  3.61e+03 -1.15e+09  8.09e-05  2.10e+03 
 55250| 1.40e+03  1.39e-04  3.59e+03 -1.15e+09  8.09e-05  2.11e+03 
 55500| 1.40e+03  1.38e-04  3.56e+03 -1.15e+09  8.09e-05  2.11e+03 
 55750| 1.40e+03  1.38e-04  3.56e+03 -1.14e+09  8.09e-05  2.12e+03 
 56000| 1.39e+03  1.38e-04  3.54e+03 -1.14e+09  8.09e-05  2.13e+03 
 56250| 1.39e+03  1.38e-04  3.54e+03 -1.14e+09  8.09e-05  2.14e+03 
 56500| 1.39e+03  1.36e-04  3.52e+03 -1.14e+09  8.09e-05  2.15e+03 
 56750| 1.39e+03  1.36e-04  3.50e+03 -1.14e+09  8.09e-05  2.16e+03 
 57000| 1.39e+03  1.36e-04  3.50e+03 -1.14e+09  8.09e-05  2.17e+03 
 57250| 1.58e+05  1.80e+01  1.35e+05 -1.09e+09  8.09e-05  2.18e+03 
 57500| 1.38e+03  1.37e-04  3.47e+03 -1.14e+09  8.09e-05  2.19e+03 
 57750| 1.38e+03  1.35e-04  3.47e+03 -1.14e+09  8.09e-05  2.20e+03 
 58000| 1.38e+03  1.35e-04  3.47e+03 -1.14e+09  8.09e-05  2.21e+03 
 58250| 1.38e+03  1.34e-04  3.42e+03 -1.14e+09  8.09e-05  2.22e+03 
 58500| 1.37e+03  1.34e-04  3.45e+03 -1.14e+09  8.09e-05  2.24e+03 
 58750| 1.37e+03  1.33e-04  3.42e+03 -1.14e+09  8.09e-05  2.25e+03 
 59000| 1.37e+03  1.33e-04  3.41e+03 -1.13e+09  8.09e-05  2.26e+03 
 59250| 1.37e+03  1.33e-04  3.40e+03 -1.13e+09  8.09e-05  2.27e+03 
 59500| 1.37e+03  1.32e-04  3.38e+03 -1.13e+09  8.09e-05  2.28e+03 
 59750| 1.36e+03  1.32e-04  3.36e+03 -1.13e+09  8.09e-05  2.29e+03 
 60000| 2.11e+04  2.21e+00  3.41e+04 -1.16e+09  8.09e-05  2.30e+03 
 60250| 1.36e+03  1.32e-04  3.37e+03 -1.13e+09  8.09e-05  2.31e+03 
 60500| 1.36e+03  1.30e-04  3.34e+03 -1.13e+09  8.09e-05  2.32e+03 
 60750| 1.36e+03  1.29e-04  3.31e+03 -1.13e+09  8.09e-05  2.33e+03 
 61000| 1.35e+03  1.30e-04  3.32e+03 -1.13e+09  8.09e-05  2.34e+03 
 61250| 1.35e+03  1.29e-04  3.31e+03 -1.13e+09  8.09e-05  2.35e+03 
 61500| 1.35e+03  1.29e-04  3.31e+03 -1.13e+09  8.09e-05  2.36e+03 
 61750| 1.35e+03  1.28e-04  3.28e+03 -1.13e+09  8.09e-05  2.37e+03 
 62000| 1.35e+03  1.28e-04  3.28e+03 -1.13e+09  8.09e-05  2.38e+03 
 62250| 1.34e+03  1.27e-04  3.26e+03 -1.13e+09  8.09e-05  2.39e+03 
 62500| 1.34e+03  1.27e-04  3.25e+03 -1.12e+09  8.09e-05  2.40e+03 
 62750| 5.98e+06  6.84e+02  8.38e+04 -9.13e+08  8.09e-05  2.40e+03 
 63000| 1.34e+03  1.26e-04  3.22e+03 -1.12e+09  8.09e-05  2.41e+03 
 63250| 1.34e+03  1.26e-04  3.23e+03 -1.12e+09  8.09e-05  2.42e+03 
 63500| 1.33e+03  1.26e-04  3.21e+03 -1.12e+09  8.09e-05  2.43e+03 
 63750| 1.33e+03  1.25e-04  3.20e+03 -1.12e+09  8.09e-05  2.44e+03 
 64000| 1.33e+03  1.25e-04  3.20e+03 -1.12e+09  8.09e-05  2.45e+03 
 64250| 1.33e+03  1.25e-04  3.19e+03 -1.12e+09  8.09e-05  2.46e+03 
 64500| 1.33e+03  1.24e-04  3.17e+03 -1.12e+09  8.09e-05  2.47e+03 
 64750| 1.32e+03  1.24e-04  3.17e+03 -1.12e+09  8.09e-05  2.48e+03 
 65000| 1.32e+03  1.24e-04  3.17e+03 -1.12e+09  8.09e-05  2.49e+03 
 65250| 1.32e+03  1.24e-04  3.16e+03 -1.12e+09  8.09e-05  2.50e+03 
